Tuned_Buffer,Capacity,Simulation_run,Buffer1,Buffer2,Buffer3,Buffer4,Buffer5,Throughput
1,14,8,14,5,5,5,5,11.075
1,14,9,14,5,5,5,5,11.1
1,14,10,14,5,5,5,5,11.175
1,15,1,15,5,5,5,5,11.375
1,15,2,15,5,5,5,5,11.55
1,15,3,15,5,5,5,5,11.225
1,15,4,15,5,5,5,5,11.325
1,15,5,15,5,5,5,5,11.225
1,15,6,15,5,5,5,5,11.225
1,15,7,15,5,5,5,5,11.35
1,15,8,15,5,5,5,5,11.575
1,15,9,15,5,5,5,5,11.375
1,15,10,15,5,5,5,5,11.125
1,16,1,16,5,5,5,5,11.275
1,16,2,16,5,5,5,5,11.5
1,16,3,16,5,5,5,5,11.175
1,16,4,16,5,5,5,5,11.6
1,16,5,16,5,5,5,5,11.4
1,16,6,16,5,5,5,5,11.4
1,16,7,16,5,5,5,5,11.15
1,16,8,16,5,5,5,5,11.35
1,16,9,16,5,5,5,5,11.3
1,16,10,16,5,5,5,5,11.15
1,17,1,17,5,5,5,5,11.4
1,17,2,17,5,5,5,5,11.2
1,17,3,17,5,5,5,5,11.075
1,17,4,17,5,5,5,5,11.25
1,17,5,17,5,5,5,5,11.525
1,17,6,17,5,5,5,5,11.325
1,17,7,17,5,5,5,5,11.125
1,17,8,17,5,5,5,5,11.35
1,17,9,17,5,5,5,5,11.2
1,17,10,17,5,5,5,5,11.25
1,18,1,18,5,5,5,5,11.3
1,18,2,18,5,5,5,5,11.05
1,18,3,18,5,5,5,5,11.25
1,18,4,18,5,5,5,5,11.35
1,18,5,18,5,5,5,5,10.875
1,18,6,18,5,5,5,5,11.375
1,18,7,18,5,5,5,5,11.4
1,18,8,18,5,5,5,5,11.175
1,18,9,18,5,5,5,5,11.325
1,18,10,18,5,5,5,5,11.3
1,19,1,19,5,5,5,5,11.5
1,19,2,19,5,5,5,5,11.025
1,19,3,19,5,5,5,5,11.35
1,19,4,19,5,5,5,5,11.6
1,19,5,19,5,5,5,5,11.075
1,19,6,19,5,5,5,5,11.125
1,19,7,19,5,5,5,5,11.375
1,19,8,19,5,5,5,5,11.6
1,19,9,19,5,5,5,5,11.5
1,19,10,19,5,5,5,5,11.225
1,20,1,20,5,5,5,5,11.125
1,20,2,20,5,5,5,5,11.0
1,20,3,20,5,5,5,5,11.25
1,20,4,20,5,5,5,5,11.375
1,20,5,20,5,5,5,5,11.4
1,20,6,20,5,5,5,5,11.35
1,20,7,20,5,5,5,5,11.45
1,20,8,20,5,5,5,5,11.325
1,20,9,20,5,5,5,5,11.25
1,20,10,20,5,5,5,5,11.45
2,1,1,5,1,5,5,5,11.325
2,1,2,5,1,5,5,5,11.475
2,1,3,5,1,5,5,5,11.5
2,1,4,5,1,5,5,5,11.125
2,1,5,5,1,5,5,5,11.525
2,1,6,5,1,5,5,5,11.125
2,1,7,5,1,5,5,5,11.55
2,1,8,5,1,5,5,5,11.25
2,1,9,5,1,5,5,5,11.5
2,1,10,5,1,5,5,5,11.275
2,2,1,5,2,5,5,5,11.375
2,2,2,5,2,5,5,5,11.075
2,2,3,5,2,5,5,5,11.35
2,2,4,5,2,5,5,5,11.6
2,2,5,5,2,5,5,5,11.15
2,2,6,5,2,5,5,5,11.125
2,2,7,5,2,5,5,5,11.625
2,2,8,5,2,5,5,5,11.2
2,2,9,5,2,5,5,5,11.25
2,2,10,5,2,5,5,5,11.275
2,3,1,5,3,5,5,5,11.425
2,3,2,5,3,5,5,5,11.3
2,3,3,5,3,5,5,5,11.075
2,3,4,5,3,5,5,5,11.425
2,3,5,5,3,5,5,5,11.425
2,3,6,5,3,5,5,5,11.375
2,3,7,5,3,5,5,5,11.35
2,3,8,5,3,5,5,5,11.375
2,3,9,5,3,5,5,5,11.425
2,3,10,5,3,5,5,5,11.35
2,4,1,5,4,5,5,5,11.3
2,4,2,5,4,5,5,5,11.3
2,4,3,5,4,5,5,5,11.225
2,4,4,5,4,5,5,5,11.325
2,4,5,5,4,5,5,5,11.35
2,4,6,5,4,5,5,5,11.25
2,4,7,5,4,5,5,5,11.35
2,4,8,5,4,5,5,5,11.25
2,4,9,5,4,5,5,5,11.25
2,4,10,5,4,5,5,5,11.25
2,5,1,5,5,5,5,5,11.35
2,5,2,5,5,5,5,5,11.475
2,5,3,5,5,5,5,5,11.25
2,5,4,5,5,5,5,5,11.625
2,5,5,5,5,5,5,5,11.1
2,5,6,5,5,5,5,5,11.25
2,5,7,5,5,5,5,5,11.25
2,5,8,5,5,5,5,5,11.425
2,5,9,5,5,5,5,5,11.1
2,5,10,5,5,5,5,5,11.2
2,6,1,5,6,5,5,5,11.525
2,6,2,5,6,5,5,5,11.3
2,6,3,5,6,5,5,5,11.25
2,6,4,5,6,5,5,5,11.475
2,6,5,5,6,5,5,5,11.25
2,6,6,5,6,5,5,5,11.3
2,6,7,5,6,5,5,5,11.225
2,6,8,5,6,5,5,5,11.35
2,6,9,5,6,5,5,5,11.0
2,6,10,5,6,5,5,5,11.525
2,7,1,5,7,5,5,5,11.175
2,7,2,5,7,5,5,5,11.175
2,7,3,5,7,5,5,5,11.25
2,7,4,5,7,5,5,5,11.225
2,7,5,5,7,5,5,5,11.125
2,7,6,5,7,5,5,5,11.25
2,7,7,5,7,5,5,5,11.475
2,7,8,5,7,5,5,5,11.25
2,7,9,5,7,5,5,5,11.55
2,7,10,5,7,5,5,5,11.375
2,8,1,5,8,5,5,5,11.125
2,8,2,5,8,5,5,5,11.4
2,8,3,5,8,5,5,5,11.5
2,8,4,5,8,5,5,5,11.35
2,8,5,5,8,5,5,5,11.15
2,8,6,5,8,5,5,5,11.25
2,8,7,5,8,5,5,5,11.0
2,8,8,5,8,5,5,5,10.925
2,8,9,5,8,5,5,5,11.1
2,8,10,5,8,5,5,5,11.35
2,9,1,5,9,5,5,5,11.525
2,9,2,5,9,5,5,5,11.425
2,9,3,5,9,5,5,5,11.55
2,9,4,5,9,5,5,5,11.4
2,9,5,5,9,5,5,5,11.375
2,9,6,5,9,5,5,5,11.3
2,9,7,5,9,5,5,5,11.45
2,9,8,5,9,5,5,5,11.45
2,9,9,5,9,5,5,5,11.525
2,9,10,5,9,5,5,5,11.4
2,10,1,5,10,5,5,5,11.525
2,10,2,5,10,5,5,5,11.35
2,10,3,5,10,5,5,5,11.15
2,10,4,5,10,5,5,5,11.25
2,10,5,5,10,5,5,5,11.2
2,10,6,5,10,5,5,5,11.375
2,10,7,5,10,5,5,5,11.35
2,10,8,5,10,5,5,5,11.125
2,10,9,5,10,5,5,5,11.3
2,10,10,5,10,5,5,5,11.375
2,11,1,5,11,5,5,5,11.35
2,11,2,5,11,5,5,5,11.25
2,11,3,5,11,5,5,5,11.125
2,11,4,5,11,5,5,5,11.15
2,11,5,5,11,5,5,5,11.125
2,11,6,5,11,5,5,5,11.125
2,11,7,5,11,5,5,5,11.375
2,11,8,5,11,5,5,5,11.275
2,11,9,5,11,5,5,5,11.375
2,11,10,5,11,5,5,5,11.425
2,12,1,5,12,5,5,5,11.175
2,12,2,5,12,5,5,5,11.275
2,12,3,5,12,5,5,5,11.2
2,12,4,5,12,5,5,5,11.6
2,12,5,5,12,5,5,5,11.375
2,12,6,5,12,5,5,5,11.375
2,12,7,5,12,5,5,5,11.575
2,12,8,5,12,5,5,5,11.2
2,12,9,5,12,5,5,5,11.625
2,12,10,5,12,5,5,5,11.25
2,13,1,5,13,5,5,5,11.05
2,13,2,5,13,5,5,5,11.2
2,13,3,5,13,5,5,5,11.375
2,13,4,5,13,5,5,5,11.35
2,13,5,5,13,5,5,5,11.25
2,13,6,5,13,5,5,5,11.125
2,13,7,5,13,5,5,5,11.3
2,13,8,5,13,5,5,5,11.4
2,13,9,5,13,5,5,5,11.15
2,13,10,5,13,5,5,5,11.05
2,14,1,5,14,5,5,5,11.55
2,14,2,5,14,5,5,5,11.5
2,14,3,5,14,5,5,5,11.3
2,14,4,5,14,5,5,5,11.5
2,14,5,5,14,5,5,5,11.25
2,14,6,5,14,5,5,5,11.275
2,14,7,5,14,5,5,5,11.25
2,14,8,5,14,5,5,5,11.325
2,14,9,5,14,5,5,5,11.375
2,14,10,5,14,5,5,5,11.275
2,15,1,5,15,5,5,5,11.425
2,15,2,5,15,5,5,5,11.525
2,15,3,5,15,5,5,5,11.325
2,15,4,5,15,5,5,5,11.225
2,15,5,5,15,5,5,5,11.35
2,15,6,5,15,5,5,5,11.25
2,15,7,5,15,5,5,5,11.4
2,15,8,5,15,5,5,5,11.425
2,15,9,5,15,5,5,5,11.5
2,15,10,5,15,5,5,5,11.375
2,16,1,5,16,5,5,5,11.325
2,16,2,5,16,5,5,5,11.475
2,16,3,5,16,5,5,5,11.75
2,16,4,5,16,5,5,5,11.375
2,16,5,5,16,5,5,5,11.45
2,16,6,5,16,5,5,5,11.25
2,16,7,5,16,5,5,5,11.15
2,16,8,5,16,5,5,5,11.45
2,16,9,5,16,5,5,5,11.4
2,16,10,5,16,5,5,5,11.3
2,17,1,5,17,5,5,5,11.5
2,17,2,5,17,5,5,5,11.125
2,17,3,5,17,5,5,5,11.55
2,17,4,5,17,5,5,5,11.225
2,17,5,5,17,5,5,5,11.575
2,17,6,5,17,5,5,5,11.475
2,17,7,5,17,5,5,5,11.275
2,17,8,5,17,5,5,5,11.425
2,17,9,5,17,5,5,5,11.55
2,17,10,5,17,5,5,5,11.15
2,18,1,5,18,5,5,5,11.575
2,18,2,5,18,5,5,5,11.35
2,18,3,5,18,5,5,5,11.525
2,18,4,5,18,5,5,5,11.525
2,18,5,5,18,5,5,5,11.25
2,18,6,5,18,5,5,5,11.475
2,18,7,5,18,5,5,5,11.375
2,18,8,5,18,5,5,5,11.5
2,18,9,5,18,5,5,5,11.275
2,18,10,5,18,5,5,5,11.5
2,19,1,5,19,5,5,5,11.425
2,19,2,5,19,5,5,5,11.325
2,19,3,5,19,5,5,5,11.15
2,19,4,5,19,5,5,5,11.475
2,19,5,5,19,5,5,5,11.3
2,19,6,5,19,5,5,5,11.525
2,19,7,5,19,5,5,5,11.25
2,19,8,5,19,5,5,5,11.375
2,19,9,5,19,5,5,5,11.7
2,19,10,5,19,5,5,5,11.5
2,20,1,5,20,5,5,5,11.25
2,20,2,5,20,5,5,5,11.35
2,20,3,5,20,5,5,5,11.225
2,20,4,5,20,5,5,5,11.025
2,20,5,5,20,5,5,5,11.175
2,20,6,5,20,5,5,5,11.375
